	RDX	HNS	TATB	DAAF	DAOAF	DATB	LLM-105	FOX-7	NQ
TNB	-1.613079518	-1.004560947	-0.926115604	-0.905263718	-1.308529069	-1.742487449	-0.791579555	-12.9763934	-4.167021199
TNGU	-5.173299718	-5.8260736	-7.708818433	-6.101701391	-8.403710118	-7.691125043	-8.780867156	-22.29597154	-9.57349139
TNT	-0.909594872	-0.239313854	-0.495696229	-0.600409482	-0.546788384	-0.768225742	0.007301579	-14.42395002	-4.35224276
TTNB	-3.431177354	-4.828012577	-6.16407788	-0.702819516	-1.834181754	-7.539843019	-2.362246476	-9.016782571	-3.275881505
TZTN	-4.066205007	-1.94456059	-0.689048768	-3.014933212	-3.169276391	-2.044277904	-3.059094295	-11.61079772	-6.020989907
xylene	-3.677654164	-5.876792581	-3.474926718	-0.962620222	-0.786976215	-4.482548085	-2.928872608	-1.639700566	-0.023062521
RDX	#	-1.325408738	-3.070673559	-0.775251384	-0.849810854	-2.092979553	-0.906770346	-19.27955613	-5.407663098
HNS	-1.325408738	#	-1.054839371	-1.227670047	-1.205674526	-1.598622069	0.184706781	-17.15927765	-4.860675404
TATB	-3.070673559	-1.054839371	#	-0.553550033	-0.100771773	-0.266627813	-0.274252872	-9.174992144	-2.862029867
DAAF	-0.775251384	-1.227670047	-0.553550033	#	-0.026059352	-0.416371953	-0.365034283	-10.41173059	-4.215599438
DAOAF	-0.849810854	-1.205674526	-0.100771773	-0.026059352	#	-0.075649946	-0.084967234	-9.364781494	-3.72234738
DATB	-2.092979553	-1.598622069	-0.266627813	-0.416371953	-0.075649946	#	0.081029756	-13.25102064	-3.904838654
LLM-105	-0.906770346	0.184706781	-0.274252872	-0.365034283	-0.084967234	0.081029756	#	-11.50348735	-4.124428993
FOX-7	-19.27955613	-17.15927765	-9.174992144	-10.41173059	-9.364781494	-13.25102064	-11.50348735	#	-1.64969432
NQ	-5.407663098	-4.860675404	-2.862029867	-4.215599438	-3.72234738	-3.904838654	-4.124428993	-1.64969432	#
