O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O	N1C2=NON=C2C2=NON=C2C2=NON=C12	1	HIVGAW
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	NC1=Nc2ccccc2N1	1	HUZSEA
O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O	Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O	1	IZUZUZ
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O	Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O	1	IZUZUZ01
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O	CN(CN(C)N(=O)=O)N(=O)=O	1	JABYIX
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O	CCN(CN(CC)N(=O)=O)N(=O)=O	1	JABYOD
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O	CC1=C(N=CN1)N(=O)=O	1	JOCTAZ
O=N(=O)c1cc(cc(c1)N(=O)=O)C#N	CN1c2ccccc2c2ccccc12	1	KIZVAQ
O=N(=O)c1cc(cc(c1)N(=O)=O)C#N	CCN1c2ccccc2c2ccccc12	1	KOBFIQ
O=N(=O)c1ccccc1	O=N(=O)c1ccc(Nc2cc(Nc3ccc(cc3)N(=O)=O)c(cc2N(=O)=O)N(=O)=O)cc1	1	KUMYOI
O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O	O=N(=O)N1C=NC(=C1)N(=O)=O	1	LOKJIH
O=N(=O)C1=CC2=[N+]([O-])ON=C2C2=[N+]([O-])ON=C12	c1ccc2cc3ccccc3cc2c1	1	LUTGUD
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	CN(C)c1nc(nc(n1)N(C)C)N(C)C	1	MAAZNB
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O	1	NIBJUF
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	Nc1cc(N)cc(N)c1	1	NIBZAM
Cc1ccc(C)c(c1N(=O)=O)N(=O)=O	Cc1cc(c(C)c(c1)N(=O)=O)N(=O)=O	1	NIKLOL
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O	CN1C=C(N=C1N(=O)=O)N(=O)=O	1	NILCET
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	Cc1cc(C)c(C)cc1C	1	POCVIP
O=N(=O)N=C1NN=NN1CCN1N=NNC1=NN(=O)=O	NN1N=NN=C1N	1	POSREV
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O	O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O	1	PUBMUU20
N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	O=N(=O)c1cccc(c1Nc1cccc(Nc2c(cccc2N(=O)=O)N(=O)=O)c1)N(=O)=O	1	PUBWEO
O=N(=O)NCCNN(=O)=O	c1cc(ccn1)c1ccncc1	1	PUTWEI
O=N(=O)NCCNN(=O)=O	C(Cc1ccncc1)c1ccncc1	1	PUTWIM
O=N(=O)NCCNN(=O)=O	c1cc(ccn1)C=Cc1ccncc1	1	PUTWOS
O=N(=O)NCCNN(=O)=O	c1cc(ccn1)N=Nc1ccncc1	1	PUTWUY
O=N(=O)NCCNN(=O)=O	[O]N1C=CN([O])C=C1	1	PUTXAF
O=N(=O)NCCNN(=O)=O	c1ccc(cc1)N=Nc1ccncc1	1	PUTXEJ
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	c1ccc2c(c1)c1ccccc1c1ccccc21	1	PVVBFD01
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	c1ccc2ccccc2c1	1	PVVBKP01
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	c1cc2ccc3cccc4ccc(c1)c2c34	1	PYRTNB
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O	CN1N=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O	1	QAPNAZ
NC1=NON=C1N	NC1=C(NN=C1N(=O)=O)N(=O)=O	1	QARQUY
Cc1c(N)cccc1N	Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O	1	QINLEH
CN(CN(C)N(=O)=O)N(=O)=O	[O-][N+]1=NC2=NON=C2[N+](=N1)[O-]	1	QOSRUN
